998,2995,4990,9928
the	ð ə
web	w ɛ b
fiber	f aɪ b ɝ
react	ɹ i æ k t
analyze	æ n ə ɫ aɪ z
northern	n ɔ ɹ ð ɝ n
faint	f eɪ n t
whisper	w ɪ s p ɝ
minor	m aɪ n ɝ
loop	ɫ u p
award	ə w ɔ ɹ d
disaster	d ɪ z æ s t ɝ
classical	k ɫ æ s ɪ k ə ɫ
weakness	w i k n ə s
diet	d aɪ ə t
essay	ɛ s eɪ
excuse	ɪ k s k j u s
royal	ɹ ɔɪ ə ɫ
pump	p ʌ m p
shade	ʃ eɪ d
frequent	f ɹ i k w ə n t
elsewhere	ɛ ɫ s w ɛ ɹ
motivation	m oʊ t ə v eɪ ʃ ə n
discharge	d ɪ s tʃ ɑ ɹ dʒ
uncle	ʌ ŋ k ə ɫ
lord	ɫ ɔ ɹ d
cooperation	k oʊ ɑ p ɝ eɪ ʃ ə n
undergo	ʌ n d ɝ ɡ oʊ
shame	ʃ eɪ m
crown	k ɹ aʊ n
fairly	f ɛ ɹ ɫ i
transmission	t ɹ æ n s m ɪ ʃ ə n
fracture	f ɹ æ k tʃ ɝ
hang	h æ ŋ
musical	m j u z ɪ k ə ɫ
migration	m aɪ ɡ ɹ eɪ ʃ ə n
prime	p ɹ aɪ m
dimension	d ɪ m ɛ n ʃ ə n
comprehensive	k ɑ m p ɹ i h ɛ n s ɪ v
pipe	p aɪ p
valley	v æ ɫ i
interact	ɪ n t ɝ æ k t
ritual	ɹ ɪ tʃ u ə ɫ
neighborhood	n eɪ b ɝ h ʊ d
poetry	p oʊ ə t ɹ i
paragraph	p æ ɹ ə ɡ ɹ æ f
meeting	m i t ɪ ŋ
mad	m æ d
cousin	k ʌ z ə n
flower	f ɫ aʊ ɝ
propose	p ɹ ə p oʊ z
oral	ɔ ɹ ə ɫ
fortune	f ɔ ɹ tʃ ə n
beer	b ɪ ɹ
orientation	ɔ ɹ i ɛ n t eɪ ʃ ə n
suspect	s ə s p ɛ k t
nearby	n ɪ ɹ b aɪ
employ	ɛ m p ɫ ɔɪ
confirm	k ə n f ɝ m
plenty	p ɫ ɛ n t i
favour	f eɪ v ɝ
pause	p ɔ z
inform	ɪ n f ɔ ɹ m
graph	ɡ ɹ æ f
anxious	æ ŋ k ʃ ə s
raw	ɹ ɑ
intent	ɪ n t ɛ n t
emphasize	ɛ m f ə s aɪ z
predict	p ɹ ɪ d ɪ k t
confusion	k ə n f j u ʒ ə n
forehead	f ɔ ɹ h ɛ d
pop	p ɑ p
mess	m ɛ s
steam	s t i m
normally	n ɔ ɹ m ə ɫ i
draft	d ɹ æ f t
successfully	s ə k s ɛ s f ə ɫ i
slope	s ɫ oʊ p
para	p ɛ ɹ ə
prediction	p ɹ i d ɪ k ʃ ə n
multi	m ʌ ɫ t i
withdraw	w ɪ ð d ɹ ɔ
fist	f ɪ s t
glow	ɡ ɫ oʊ
fancy	f æ n s i
velocity	v ə ɫ ɑ s ə t i
initially	ɪ n ɪ ʃ ə ɫ i
seal	s i ɫ
giant	dʒ aɪ ə n t
divide	d ɪ v aɪ d
virus	v aɪ ɹ ə s
item	aɪ t ə m
manifest	m æ n ə f ɛ s t
organizational	ɔ ɹ ɡ ə n ə z eɪ ʃ ə n ə ɫ
stupid	s t u p ə d
guidance	ɡ aɪ d ə n s
mask	m æ s k
leap	ɫ i p
chicken	tʃ ɪ k ə n
lovely	ɫ ʌ v ɫ i
boundary	b aʊ n d ɝ i
expensive	ɪ k s p ɛ n s ɪ v
courage	k ɝ ə dʒ
empirical	ɛ m p ɪ ɹ ɪ k ə ɫ
decade	d ɛ k eɪ d
inequality	ɪ n ɪ k w ɑ ɫ ə t i
venture	v ɛ n tʃ ɝ
talent	t æ ɫ ə n t
whenever	w ɛ n ɛ v ɝ
crystal	k ɹ ɪ s t ə ɫ
boss	b ɑ s
shit	ʃ ɪ t
tribe	t ɹ aɪ b
emerge	ɪ m ɝ dʒ
western	w ɛ s t ɝ n
email	i m eɪ ɫ
routine	ɹ u t i n
prospect	p ɹ ɑ s p ɛ k t
medication	m ɛ d ə k eɪ ʃ ə n
pot	p ɑ t
vital	v aɪ t ə ɫ
administrative	ə d m ɪ n ə s t ɹ eɪ t ɪ v
jurisdiction	dʒ ʊ ɹ ə s d ɪ k ʃ ə n
professor	p ɹ ə f ɛ s ɝ
guilty	ɡ ɪ ɫ t i
passenger	p æ s ə n dʒ ɝ
rear	ɹ ɪ ɹ
sport	s p ɔ ɹ t
engineer	ɛ n dʒ ə n ɪ ɹ
grin	ɡ ɹ ɪ n
requirement	ɹ ɪ k w aɪ ɹ m ə n t
partly	p ɑ ɹ t ɫ i
threshold	θ ɹ ɛ ʃ oʊ ɫ d
excitement	ɪ k s aɪ t m ə n t
shower	ʃ aʊ ɝ
effectiveness	ɪ f ɛ k t ɪ v n ə s
hint	h ɪ n t
prominent	p ɹ ɑ m ə n ə n t
sensation	s ɛ n s eɪ ʃ ə n
exit	ɛ ɡ z ɪ t
blade	b ɫ eɪ d
adequate	æ d ə k w ə t
cream	k ɹ i m
rational	ɹ æ ʃ ə n ə ɫ
art	ɑ ɹ t
pleasant	p ɫ ɛ z ə n t
totally	t oʊ t ə ɫ i
invite	ɪ n v aɪ t
faculty	f æ k ə ɫ t i
knock	n ɑ k
yesterday	j ɛ s t ɝ d eɪ
sub	s ʌ b
ion	aɪ ə n
essentially	ɛ s ɛ n ʃ ə ɫ i
powder	p aʊ d ɝ
spite	s p aɪ t
spare	s p ɛ ɹ
distress	d ɪ s t ɹ ɛ s
slice	s ɫ aɪ s
convey	k ə n v eɪ
denote	d ɪ n oʊ t
magazine	m æ ɡ ə z i n
enzyme	ɛ n z aɪ m
unusual	ə n j u ʒ u ə ɫ
rage	ɹ eɪ dʒ
render	ɹ ɛ n d ɝ
inquiry	ɪ n k w aɪ ɹ i
mystery	m ɪ s t ɝ i
magnetic	m æ ɡ n ɛ t ɪ k
convince	k ə n v ɪ n s
awake	ə w eɪ k
treaty	t ɹ i t i
sacred	s eɪ k ɹ ə d
pour	p ɔ ɹ
sustainable	s ə s t eɪ n ə b ə ɫ
vein	v eɪ n
everyday	ɛ v ɹ i d eɪ
laboratory	ɫ æ b ɹ ə t ɔ ɹ i
protocol	p ɹ oʊ t ə k ɑ ɫ
pilot	p aɪ ɫ ə t
duration	d ʊ ɹ eɪ ʃ ə n
cap	k æ p
bid	b ɪ d
dialogue	d aɪ ə ɫ ɔ ɡ
deck	d ɛ k
drift	d ɹ ɪ f t
grateful	ɡ ɹ eɪ t f ə ɫ
voltage	v oʊ ɫ t ə dʒ
crash	k ɹ æ ʃ
honour	ɑ n ɝ
farmer	f ɑ ɹ m ɝ
soldier	s oʊ ɫ dʒ ɝ
essence	ɛ s ə n s
liberty	ɫ ɪ b ɝ t i
configuration	k ə n f ɪ ɡ j ɝ eɪ ʃ ə n
rescue	ɹ ɛ s k j u
bathroom	b æ θ ɹ u m
wing	w ɪ ŋ
von	v ɔ n
bell	b ɛ ɫ
ghost	ɡ oʊ s t
thrust	θ ɹ ʌ s t
setting	s ɛ t ɪ ŋ
molecular	m ə ɫ ɛ k j ə ɫ ɝ
tank	t æ ŋ k
panic	p æ n ɪ k
resolve	ɹ i z ɑ ɫ v
chase	tʃ eɪ s
cave	k eɪ v
calculate	k æ ɫ k j ə ɫ eɪ t
pink	p ɪ ŋ k
compromise	k ɑ m p ɹ ə m aɪ z
recover	ɹ ɪ k ʌ v ɝ
luck	ɫ ʌ k
laughter	ɫ æ f t ɝ
selling	s ɛ ɫ ɪ ŋ
interpret	ɪ n t ɝ p ɹ ə t
remote	ɹ ɪ m oʊ t
pen	p ɛ n
instruction	ɪ n s t ɹ ʌ k ʃ ə n
systematic	s ɪ s t ə m æ t ɪ k
province	p ɹ ɑ v ə n s
methodology	m ɛ θ ə d ɑ ɫ ə dʒ i
acquire	ə k w aɪ ɝ
summary	s ʌ m ɝ i
psychology	s aɪ k ɑ ɫ ə dʒ i
disappear	d ɪ s ə p ɪ ɹ
mutual	m j u tʃ u ə ɫ
reserve	ɹ ɪ z ɝ v
factory	f æ k t ɝ i
instantly	ɪ n s t ə n t ɫ i
partnership	p ɑ ɹ t n ɝ ʃ ɪ p
carriage	k æ ɹ ɪ dʒ
discrimination	d ɪ s k ɹ ɪ m ə n eɪ ʃ ə n
fiction	f ɪ k ʃ ə n
accompany	ə k ʌ m p ə n i
ongoing	ɑ n ɡ oʊ ɪ ŋ
acquisition	æ k w ə z ɪ ʃ ə n
shelter	ʃ ɛ ɫ t ɝ
radiation	ɹ eɪ d i eɪ ʃ ə n
newly	n u ɫ i
worthy	w ɝ ð i
pound	p aʊ n d
accordance	ə k ɔ ɹ d ə n s
synthesis	s ɪ n θ ə s ə s
remarkable	ɹ ɪ m ɑ ɹ k ə b ə ɫ
utility	j u t ɪ ɫ ə t i
county	k aʊ n t i
clause	k ɫ ɔ z
succeed	s ə k s i d
historian	h ɪ s t ɔ ɹ i ə n
format	f ɔ ɹ m æ t
detect	d ɪ t ɛ k t
handsome	h æ n s ə m
diagram	d aɪ ə ɡ ɹ æ m
cure	k j ʊ ɹ
arrow	æ ɹ oʊ
ultimate	ʌ ɫ t ə m ə t
trick	t ɹ ɪ k
simultaneously	s aɪ m ə ɫ t eɪ n i ə s ɫ i
complaint	k ə m p ɫ eɪ n t
pregnancy	p ɹ ɛ ɡ n ə n s i
enormous	ɪ n ɔ ɹ m ə s
treasure	t ɹ ɛ ʒ ɝ
trauma	t ɹ ɔ m ə
rice	ɹ aɪ s
chart	tʃ ɑ ɹ t
profession	p ɹ ə f ɛ ʃ ə n
assembly	ə s ɛ m b ɫ i
bomb	b ɑ m
declare	d ɪ k ɫ ɛ ɹ
horror	h ɔ ɹ ɝ
naked	n eɪ k ə d
episode	ɛ p ə s oʊ d
appointment	ə p ɔɪ n t m ə n t
ownership	oʊ n ɝ ʃ ɪ p
regulatory	ɹ ɛ ɡ j ə ɫ ə t ɔ ɹ i
removal	ɹ ɪ m u v ə ɫ
roar	ɹ ɔ ɹ
occasionally	ə k eɪ ʒ ə n ə ɫ i
unlike	ə n ɫ aɪ k
clock	k ɫ ɑ k
chin	tʃ ɪ n
tender	t ɛ n d ɝ
constitutional	k ɑ n s t ə t u ʃ ə n ə ɫ
innocent	ɪ n ə s ə n t
nobody	n oʊ b ɑ d i
undertake	ʌ n d ɝ t eɪ k
philosopher	f ə ɫ ɑ s ə f ɝ
temporary	t ɛ m p ɝ ɛ ɹ i
drag	d ɹ æ ɡ
technological	t ɛ k n ə ɫ ɑ dʒ ɪ k ə ɫ
equality	ɪ k w ɑ ɫ ə t i
assistant	ə s ɪ s t ə n t
brow	b ɹ aʊ
partial	p ɑ ɹ ʃ ə ɫ
acceptance	æ k s ɛ p t ə n s
sweat	s w ɛ t
ad	æ d
utter	ʌ t ɝ
settle	s ɛ t ə ɫ
poison	p ɔɪ z ə n
conviction	k ə n v ɪ k ʃ ə n
thread	θ ɹ ɛ d
coverage	k ʌ v ɝ ə dʒ
grey	ɡ ɹ eɪ
lean	ɫ i n
council	k aʊ n s ə ɫ
stimulate	s t ɪ m j ə ɫ eɪ t
mate	m eɪ t
philosophical	f ɪ ɫ ə s ɑ f ɪ k ə ɫ
briefly	b ɹ i f ɫ i
resemble	ɹ ɪ z ɛ m b ə ɫ
coin	k ɔɪ n
min	m ɪ n
queen	k w i n
commit	k ə m ɪ t
publisher	p ʌ b ɫ ɪ ʃ ɝ
compound	k ɑ m p aʊ n d
conservative	k ə n s ɝ v ə t ɪ v
impose	ɪ m p oʊ z
optimal	ɑ p t ə m ə ɫ
upset	ə p s ɛ t
lecture	ɫ ɛ k tʃ ɝ
weapon	w ɛ p ə n
owner	oʊ n ɝ
rope	ɹ oʊ p
abstract	æ b s t ɹ æ k t
waist	w eɪ s t
conversion	k ə n v ɝ ʒ ə n
retain	ɹ ɪ t eɪ n
earn	ɝ n
ex	ɛ k s
devil	d ɛ v ə ɫ
regularly	ɹ ɛ ɡ j ə ɫ ɝ ɫ i
dimensional	d ɪ m ɛ n ʃ ə n ə ɫ
personnel	p ɝ s ə n ɛ ɫ
kick	k ɪ k
violation	v aɪ ə ɫ eɪ ʃ ə n
sail	s eɪ ɫ
thermal	θ ɝ m ə ɫ
occupation	ɑ k j ə p eɪ ʃ ə n
urge	ɝ dʒ
extraordinary	ɛ k s t ɹ ə ɔ ɹ d ə n ɛ ɹ i
painful	p eɪ n f ə ɫ
excess	ɛ k s ɛ s
demon	d i m ə n
organize	ɔ ɹ ɡ ə n aɪ z
parameter	p ɝ æ m ə t ɝ
behave	b ɪ h eɪ v
tightly	t aɪ t ɫ i
moderate	m ɑ d ɝ ə t
agriculture	æ ɡ ɹ ɪ k ʌ ɫ tʃ ɝ
reject	ɹ ɪ dʒ ɛ k t
manuscript	m æ n j ə s k ɹ ɪ p t
agenda	ə dʒ ɛ n d ə
cake	k eɪ k
mile	m aɪ ɫ
approval	ə p ɹ u v ə ɫ
shed	ʃ ɛ d
lip	ɫ ɪ p
firmly	f ɝ m ɫ i
cheap	tʃ i p
diameter	d aɪ æ m ə t ɝ
hungry	h ʌ ŋ ɡ ɹ i
vertical	v ɝ t ɪ k ə ɫ
sensitivity	s ɛ n s ɪ t ɪ v ɪ t i
curriculum	k ɝ ɪ k j ə ɫ ə m
execution	ɛ k s ə k j u ʃ ə n
pin	p ɪ n
applicable	æ p ɫ ə k ə b ə ɫ
drain	d ɹ eɪ n
verb	v ɝ b
stare	s t ɛ ɹ
classic	k ɫ æ s ɪ k
gather	ɡ æ ð ɝ
temporal	t ɛ m p ɝ ə ɫ
lucky	ɫ ʌ k i
tent	t ɛ n t
grief	ɡ ɹ i f
knee	n i
equity	ɛ k w ə t i
competitive	k ə m p ɛ t ə t ɪ v
regardless	ɹ ə ɡ ɑ ɹ d ɫ ə s
interior	ɪ n t ɪ ɹ i ɝ
statistical	s t ə t ɪ s t ɪ k ə ɫ
unity	j u n ə t i
polymer	p ɑ ɫ ə m ɝ
modification	m ɑ d ə f ə k eɪ ʃ ə n
similarity	s ɪ m ə ɫ ɛ ɹ ə t i
museum	m j u z i ə m
opponent	ə p oʊ n ə n t
juice	dʒ u s
attorney	ə t ɝ n i
divorce	d ɪ v ɔ ɹ s
fever	f i v ɝ
collaboration	k ə ɫ æ b ɝ eɪ ʃ ə n
coal	k oʊ ɫ
ideology	aɪ d i ɑ ɫ ə dʒ i
foster	f ɑ s t ɝ
quote	k w oʊ t
arch	ɑ ɹ tʃ
margin	m ɑ ɹ dʒ ə n
blanket	b ɫ æ ŋ k ə t
testimony	t ɛ s t ə m oʊ n i
attract	ə t ɹ æ k t
suspicion	s ə s p ɪ ʃ ə n
empire	ɛ m p aɪ ɝ
regulate	ɹ ɛ ɡ j ə ɫ eɪ t
perceive	p ɝ s i v
enforcement	ɛ n f ɔ ɹ s m ə n t
logical	ɫ ɑ dʒ ɪ k ə ɫ
orange	ɔ ɹ ə n dʒ
immune	ɪ m j u n
critique	k ɹ ə t i k
negotiate	n ə ɡ oʊ ʃ i eɪ t
flag	f ɫ æ ɡ
explicitly	ɪ k s p ɫ ɪ s ə t ɫ i
vulnerable	v ʌ ɫ n ɝ ə b ə ɫ
substitute	s ʌ b s t ə t u t
lend	ɫ ɛ n d
jaw	dʒ ɔ
aesthetic	ɛ s θ ɛ t ɪ k
craft	k ɹ æ f t
assault	ə s ɔ ɫ t
lightly	ɫ aɪ t ɫ i
consult	k ə n s ʌ ɫ t
pregnant	p ɹ ɛ ɡ n ə n t
dragon	d ɹ æ ɡ ə n
alongside	ə ɫ ɔ ŋ s aɪ d
battery	b æ t ɝ i
pity	p ɪ t i
equilibrium	i k w ə ɫ ɪ b ɹ i ə m
differently	d ɪ f ɹ ə n t ɫ i
pro	p ɹ oʊ
fraction	f ɹ æ k ʃ ə n
tune	t u n
terror	t ɛ ɹ ɝ
precious	p ɹ ɛ ʃ ə s
attractive	ə t ɹ æ k t ɪ v
vice	v aɪ s
shield	ʃ i ɫ d
obey	oʊ b eɪ
altogether	ɔ ɫ t ə ɡ ɛ ð ɝ
cloth	k ɫ ɔ θ
destination	d ɛ s t ə n eɪ ʃ ə n
virtual	v ɝ tʃ u ə ɫ
cabin	k æ b ə n
defence	d ɪ f ɛ n s
attain	ə t eɪ n
dramatic	d ɹ ə m æ t ɪ k
besides	b ɪ s aɪ d z
ceremony	s ɛ ɹ ə m oʊ n i
adaptation	æ d ə p t eɪ ʃ ə n
tunnel	t ʌ n ə ɫ
jacket	dʒ æ k ə t
paint	p eɪ n t
asset	æ s ɛ t
exploit	ɛ k s p ɫ ɔɪ t
ceiling	s i ɫ ɪ ŋ
activation	æ k t ə v eɪ ʃ ə n
convention	k ə n v ɛ n ʃ ə n
harvest	h ɑ ɹ v ə s t
castle	k æ s ə ɫ
combat	k ɑ m b æ t
abroad	ə b ɹ ɔ d
pan	p æ n
literally	ɫ ɪ t ɝ ə ɫ i
everybody	ɛ v ɹ i b ɑ d i
neighbor	n eɪ b ɝ
explicit	ɪ k s p ɫ ɪ s ə t
confess	k ə n f ɛ s
incorporate	ɪ n k ɔ ɹ p ɝ eɪ t
readily	ɹ ɛ d ə ɫ i
merchant	m ɝ tʃ ə n t
indication	ɪ n d ə k eɪ ʃ ə n
belt	b ɛ ɫ t
gay	ɡ eɪ
people	p i p ə ɫ
particle	p ɑ ɹ t ə k ə ɫ
persuade	p ɝ s w eɪ d
weekend	w i k ɛ n d
behalf	b ɪ h æ f
funny	f ʌ n i
register	ɹ ɛ dʒ ɪ s t ɝ
lens	ɫ ɛ n z
bet	b ɛ t
holiday	h ɑ ɫ ə d eɪ
eternal	ɪ t ɝ n ə ɫ
adjustment	ə dʒ ʌ s t m ə n t
personally	p ɝ s ə n ə ɫ i
constitution	k ɑ n s t ə t u ʃ ə n
valid	v æ ɫ ɪ d
commander	k ə m æ n d ɝ
identical	aɪ d ɛ n t ɪ k ə ɫ
mercy	m ɝ s i
linguistic	ɫ ɪ ŋ ɡ w ɪ s t ɪ k
electrical	ɪ ɫ ɛ k t ɹ ɪ k ə ɫ
assignment	ə s aɪ n m ə n t
secretary	s ɛ k ɹ ə t ɛ ɹ i
induce	ɪ n d u s
brave	b ɹ eɪ v
guilt	ɡ ɪ ɫ t
reign	ɹ eɪ n
compensation	k ɑ m p ə n s eɪ ʃ ə n
adventure	æ d v ɛ n tʃ ɝ
residence	ɹ ɛ z ɪ d ə n s
composite	k ə m p ɑ z ə t
solar	s oʊ ɫ ɝ
meaningful	m i n ɪ ŋ f ə ɫ
echo	ɛ k oʊ
associate	ə s oʊ s i ə t
patch	p æ tʃ
wrist	ɹ ɪ s t
alter	ɔ ɫ t ɝ
profound	p ɹ oʊ f aʊ n d
intimate	ɪ n t ə m ə t
insist	ɪ n s ɪ s t
tie	t aɪ
pursuit	p ɝ s u t
adoption	ə d ɑ p ʃ ə n
wolf	w ʊ ɫ f
compliance	k ə m p ɫ aɪ ə n s
absent	æ b s ə n t
leather	ɫ ɛ ð ɝ
carrier	k æ ɹ i ɝ
productivity	p ɹ oʊ d ə k t ɪ v ə t i
scent	s ɛ n t
lap	ɫ æ p
adjust	ə dʒ ʌ s t
torture	t ɔ ɹ tʃ ɝ
electricity	ɪ ɫ ɛ k t ɹ ɪ s ə t i
artery	ɑ ɹ t ɝ i
wage	w eɪ dʒ
reliable	ɹ ɪ ɫ aɪ ə b ə ɫ
thumb	θ ʌ m
confident	k ɑ n f ə d ə n t
bitter	b ɪ t ɝ
couch	k aʊ tʃ
tough	t ʌ f
strict	s t ɹ ɪ k t
module	m ɑ dʒ u ɫ
elaborate	ɪ ɫ æ b ɹ ə t
overview	oʊ v ɝ v j u
genuine	dʒ ɛ n j ə w ə n
occurrence	ə k ɝ ə n s
expenditure	ɪ k s p ɛ n d ə tʃ ɝ
contest	k ɑ n t ɛ s t
wrap	ɹ æ p
sentiment	s ɛ n t ə m ə n t
lamp	ɫ æ m p
suicide	s u ə s aɪ d
twin	t w ɪ n
acceptable	æ k s ɛ p t ə b ə ɫ
fabric	f æ b ɹ ɪ k
privacy	p ɹ aɪ v ə s i
fence	f ɛ n s
affection	ə f ɛ k ʃ ə n
conceptual	k ə n s ɛ p tʃ u ə ɫ
justify	dʒ ʌ s t ə f aɪ
ticket	t ɪ k ə t
neutral	n u t ɹ ə ɫ
precise	p ɹ ɪ s aɪ s
recommend	ɹ ɛ k ə m ɛ n d
healthcare	h ɛ ɫ θ k ɛ ɹ
aunt	æ n t
dawn	d ɔ n
blend	b ɫ ɛ n d
cigarette	s ɪ ɡ ɝ ɛ t
proposition	p ɹ ɑ p ə z ɪ ʃ ə n
needle	n i d ə ɫ
minimize	m ɪ n ə m aɪ z
cheese	tʃ i z
artificial	ɑ ɹ t ə f ɪ ʃ ə ɫ
chat	tʃ æ t
apple	æ p ə ɫ
dirty	d ɝ t i
statute	s t æ tʃ u t
unexpected	ʌ n ɪ k s p ɛ k t ɪ d
amongst	ə m ʌ ŋ s t
inclusion	ɪ n k ɫ u ʒ ə n
availability	ə v eɪ ɫ ə b ɪ ɫ ə t i
lifetime	ɫ aɪ f t aɪ m
intend	ɪ n t ɛ n d
hook	h ʊ k
sufficiently	s ə f ɪ ʃ ə n t ɫ i
trans	t ɹ æ n z
ruler	ɹ u ɫ ɝ
horizon	h ɝ aɪ z ə n
stack	s t æ k
imperial	ɪ m p ɪ ɹ i ə ɫ
convert	k ɑ n v ɝ t
punch	p ʌ n tʃ
theatre	θ i ə t ɝ
monster	m ɑ n s t ɝ
promotion	p ɹ ə m oʊ ʃ ə n
default	d ɪ f ɔ ɫ t
alliance	ə ɫ aɪ ə n s
heal	h i ɫ
respective	ɹ ɪ s p ɛ k t ɪ v
hire	h aɪ ɝ
filling	f ɪ ɫ ɪ ŋ
dig	d ɪ ɡ
neural	n ʊ ɹ ə ɫ
slavery	s ɫ eɪ v ɝ i
grandfather	ɡ ɹ æ n d f ɑ ð ɝ
thoroughly	θ ɝ oʊ ɫ i
gut	ɡ ʌ t
sympathy	s ɪ m p ə θ i
theology	θ i ɑ ɫ ə dʒ i
merit	m ɛ ɹ ə t
membership	m ɛ m b ɝ ʃ ɪ p
guest	ɡ ɛ s t
deposit	d ə p ɑ z ɪ t
aircraft	ɛ ɹ k ɹ æ f t
prevention	p ɹ i v ɛ n ʃ ə n
subsequently	s ʌ b s ə k w ə n t ɫ i
mortality	m ɔ ɹ t æ ɫ ə t i
pepper	p ɛ p ɝ
usage	j u s ə dʒ
cope	k oʊ p
desperate	d ɛ s p ɹ ɪ t
egg	ɛ ɡ
container	k ə n t eɪ n ɝ
grandmother	ɡ ɹ æ n d m ʌ ð ɝ
occupy	ɑ k j ə p aɪ
emperor	ɛ m p ɝ ɝ
launch	ɫ ɔ n tʃ
leaf	ɫ i f
elbow	ɛ ɫ b oʊ
facility	f ə s ɪ ɫ ɪ t i
lateral	ɫ æ t ɝ ə ɫ
badly	b æ d ɫ i
impulse	ɪ m p ə ɫ s
expertise	ɛ k s p ɝ t i z
governor	ɡ ʌ v ɝ n ɝ
eastern	i s t ɝ n
integrity	ɪ n t ɛ ɡ ɹ ə t i
internet	ɪ n t ɝ n ɛ t
modeling	m ɑ d ə ɫ ɪ ŋ
enforce	ɛ n f ɔ ɹ s
assert	ə s ɝ t
currency	k ɝ ə n s i
surgical	s ɝ dʒ ɪ k ə ɫ
forbid	f ɝ b ɪ d
unlikely	ə n ɫ aɪ k ɫ i
curtain	k ɝ t ə n
mobility	m oʊ b ɪ ɫ ə t i
departure	d ɪ p ɑ ɹ tʃ ɝ
behavioral	b ɪ h eɪ v j ɝ ə ɫ
therapeutic	θ ɛ ɹ ə p j u t ɪ k
server	s ɝ v ɝ
bench	b ɛ n tʃ
cultivation	k ʌ ɫ t ɪ v eɪ ʃ ə n
mineral	m ɪ n ɝ ə ɫ
breach	b ɹ i tʃ
archive	ɑ ɹ k aɪ v
brilliant	b ɹ ɪ ɫ j ə n t
stake	s t eɪ k
genre	ʒ ɑ n ɹ ə
drama	d ɹ ɑ m ə
integrate	ɪ n t ə ɡ ɹ eɪ t
curiosity	k j ʊ ɹ i ɑ s ə t i
temper	t ɛ m p ɝ
judicial	dʒ u d ɪ ʃ ə ɫ
cattle	k æ t ə ɫ
hierarchy	h aɪ ɝ ɑ ɹ k i
blank	b ɫ æ ŋ k
formulation	f ɔ ɹ m j ə ɫ eɪ ʃ ə n
differential	d ɪ f ɝ ɛ n ʃ ə ɫ
physically	f ɪ z ɪ k ə ɫ i
relax	ɹ ɪ ɫ æ k s
eager	i ɡ ɝ
dignity	d ɪ ɡ n ə t i
prophet	p ɹ ɑ f ə t
attachment	ə t æ tʃ m ə n t
sustain	s ə s t eɪ n
transportation	t ɹ æ n s p ɝ t eɪ ʃ ə n
overlap	oʊ v ɝ ɫ æ p
derivative	d ɝ ɪ v ə t ɪ v
invest	ɪ n v ɛ s t
stimulus	s t ɪ m j ə ɫ ə s
progressive	p ɹ ə ɡ ɹ ɛ s ɪ v
comparative	k ə m p ɛ ɹ ə t ɪ v
surrender	s ɝ ɛ n d ɝ
rhythm	ɹ ɪ ð ə m
affair	ə f ɛ ɹ
freely	f ɹ i ɫ i
manufacture	m æ n j ə f æ k tʃ ɝ
somebody	s ʌ m b ɑ d i
chill	tʃ ɪ ɫ
alert	ə ɫ ɝ t
sole	s oʊ ɫ
bullet	b ʊ ɫ ə t
mathematical	m æ θ ə m æ t ɪ k ə ɫ
paradigm	p ɛ ɹ ə d aɪ m
shout	ʃ aʊ t
widespread	w aɪ d s p ɹ ɛ d
revolutionary	ɹ ɛ v ə ɫ u ʃ ə n ɛ ɹ i
unconscious	ʌ n k ɑ n ʃ ə s
tape	t eɪ p
myth	m ɪ θ
bound	b aʊ n d
metaphor	m ɛ t ə f ɔ ɹ
restore	ɹ ɪ s t ɔ ɹ
illustration	ɪ ɫ ə s t ɹ eɪ ʃ ə n
sheep	ʃ i p
legitimate	ɫ ə dʒ ɪ t ə m ə t
regression	ɹ ə ɡ ɹ ɛ ʃ ə n
ache	eɪ k
snake	s n eɪ k
script	s k ɹ ɪ p t
roughly	ɹ ʌ f ɫ i
span	s p æ n
delicate	d ɛ ɫ ə k ə t
charm	tʃ ɑ ɹ m
indigenous	ɪ n d ɪ dʒ ə n ə s
laser	ɫ eɪ z ɝ
cow	k aʊ
telephone	t ɛ ɫ ə f oʊ n
uncomfortable	ə n k ʌ m f ɝ t ə b ə ɫ
scratch	s k ɹ æ tʃ
audit	ɔ d ɪ t
heritage	h ɛ ɹ ə t ə dʒ
nevertheless	n ɛ v ɝ ð ə ɫ ɛ s
aggregate	æ ɡ ɹ ə ɡ ə t
jury	dʒ ʊ ɹ i
ecosystem	i k oʊ s ɪ s t ə m
skirt	s k ɝ t
mature	m ə tʃ ʊ ɹ
interfere	ɪ n t ɝ f ɪ ɹ
integral	ɪ n t ə ɡ ɹ ə ɫ
trigger	t ɹ ɪ ɡ ɝ
autonomy	ɔ t ɑ n ə m i
robot	ɹ oʊ b ɑ t
grid	ɡ ɹ ɪ d
despair	d ɪ s p ɛ ɹ
infinite	ɪ n f ə n ə t
gear	ɡ ɪ ɹ
plaintiff	p ɫ eɪ n t ə f
midst	m ɪ d s t
sorrow	s ɑ ɹ oʊ
pit	p ɪ t
whip	w ɪ p
hormone	h ɔ ɹ m oʊ n
plasma	p ɫ æ z m ə
objection	ə b dʒ ɛ k ʃ ə n
bath	b æ θ
proceeding	p ɹ ə s i d ɪ ŋ
instinct	ɪ n s t ɪ ŋ k t
bloody	b ɫ ʌ d i
ministry	m ɪ n ə s t ɹ i
thesis	θ i s ə s
practically	p ɹ æ k t ɪ k ɫ i
productive	p ɹ ə d ʌ k t ɪ v
partially	p ɑ ɹ ʃ ə ɫ i
